          Mkt-RF     SMB     HML      RF
20141231   -0.93    0.49   -0.39   0.000
20150102   -0.11   -0.59    0.09   0.000
20150105   -1.84    0.33   -0.63   0.000
20150106   -1.04   -0.78   -0.26   0.000
20150107    1.19    0.17   -0.65   0.000
20150108    1.81   -0.12   -0.28   0.000
20150109   -0.85    0.01   -0.51   0.000
20150112   -0.79    0.37   -0.37   0.000
20150113   -0.19    0.28    0.03   0.000
20150114   -0.60    0.29   -0.50   0.000
20150115   -1.08   -0.95    0.64   0.000
20150116    1.36    0.46   -0.15   0.000
20150120    0.11   -0.66   -0.55   0.000
20150121    0.42   -0.95    0.55   0.000
20150122    1.58    0.46    0.41   0.000
20150123   -0.47    0.51   -0.82   0.000
20150126    0.42    0.56   -0.05   0.000
20150127   -1.21    0.67    0.23   0.000
20150128   -1.39   -0.08   -0.77   0.000
20150129    0.98    0.24   -0.01   0.000
20150130   -1.30   -0.77    0.03   0.000
20150202    1.25   -0.46    1.00   0.000
20150203    1.49    0.17    0.51   0.000
20150204   -0.35   -0.07   -0.21   0.000
20150205    1.10    0.47   -0.16   0.000
20150206   -0.20    0.07    0.39   0.000
20150209   -0.46   -0.39    0.09   0.000
20150210    1.04   -0.32   -0.70   0.000
20150211    0.03   -0.11   -0.33   0.000
20150212    1.00    0.16   -0.09   0.000
20150213    0.47    0.18   -0.29   0.000
20150217    0.17   -0.02    0.00   0.000
20150218    0.03    0.29   -0.81   0.000
20150219   -0.01    0.27   -0.35   0.000
20150220    0.61   -0.41   -0.26   0.000
20150223   -0.08    0.04   -0.38   0.000
20150224    0.32   -0.04    0.69   0.000
20150225    0.02    0.22   -0.51   0.000
20150226   -0.08    0.62   -0.49   0.000
20150227   -0.36   -0.21    0.22   0.000
20150302    0.62    0.23   -0.43   0.000
20150303   -0.43   -0.31    0.30   0.000
20150304   -0.41    0.09   -0.40   0.000
20150305    0.15    0.24   -0.43   0.000
20150306   -1.29    0.27    0.43   0.000
20150309    0.37    0.08   -0.02   0.000
20150310   -1.63    0.42   -0.47   0.000
20150311   -0.04    0.57    0.52   0.000
20150312    1.28    0.38    0.50   0.000
20150313   -0.57    0.20   -0.04   0.000
20150316    1.23   -0.77   -0.42   0.000
20150317   -0.20    0.54   -0.03   0.000
20150318    1.08   -0.51    0.00   0.000
20150319   -0.36    0.87   -1.11   0.000
20150320    0.81   -0.14    0.54   0.000
20150323   -0.19    0.21    0.24   0.000
20150324   -0.51    0.58   -0.29   0.000
20150325   -1.56   -0.98    1.04   0.000
20150326   -0.22    0.11   -0.06   0.000
20150327    0.32    0.50   -0.70   0.000
20150330    1.24    0.01   -0.04   0.000
20150331   -0.75    0.42    0.38   0.000
20150401   -0.38    0.35    0.43   0.000
20150402    0.35   -0.08    0.31   0.000
20150406    0.61   -0.27   -0.15   0.000
20150407   -0.22   -0.19   -0.16   0.000
20150408    0.37    0.53   -0.72   0.000
20150409    0.41   -0.70   -0.06   0.000
20150410    0.49   -0.07   -0.28   0.000
20150413   -0.38    0.49    0.23   0.000
20150414    0.11   -0.19    0.19   0.000
20150415    0.57    0.25    0.32   0.000
20150416   -0.08   -0.08   -0.21   0.000
20150417   -1.23   -0.46    0.23   0.000
20150420    0.95    0.16   -0.27   0.000
20150421   -0.10    0.19   -0.76   0.000
20150422    0.46   -0.37    0.16   0.000
20150423    0.29    0.29   -0.22   0.000
20150424    0.17   -0.51   -0.28   0.000
20150427   -0.54   -0.70    0.56   0.000
20150428    0.27    0.21    1.02   0.000
20150429   -0.38   -0.74    0.74   0.000
20150430   -1.11   -1.06    0.77   0.000
20150501    1.01   -0.31   -0.62   0.000
20150504    0.32    0.03    0.24   0.000
20150505   -1.19   -0.15    0.51   0.000
20150506   -0.31    0.64   -0.14   0.000
20150507    0.39    0.04   -0.40   0.000
20150508    1.21   -0.57   -0.12   0.000
20150511   -0.39    0.67   -0.03   0.000
20150512   -0.27    0.00    0.07   0.000
20150513    0.01    0.00    0.02   0.000
20150514    1.01   -0.10   -0.35   0.000
20150515    0.05   -0.24   -0.20   0.000
20150518    0.44    0.74   -0.09   0.000
20150519   -0.09   -0.12    0.23   0.000
20150520   -0.05    0.22   -0.13   0.000
20150521    0.23   -0.29   -0.02   0.000
20150522   -0.22   -0.12   -0.14   0.000
20150526   -1.01   -0.02   -0.01   0.000
20150527    0.93    0.32   -0.35   0.000
20150528   -0.12    0.10    0.13   0.000
20150529   -0.58    0.02    0.06   0.000
20150601    0.17   -0.04   -0.22   0.000
20150602   -0.02    0.32    0.33   0.000
20150603    0.39    0.86   -0.24   0.000
20150604   -0.88   -0.10   -0.01   0.000
20150605    0.06    0.80    0.05   0.000
20150608   -0.66    0.05    0.03   0.000
20150609    0.02   -0.31    0.35   0.000
20150610    1.20    0.15    0.19   0.000
20150611    0.21   -0.10   -0.11   0.000
20150612   -0.63    0.33    0.13   0.000
20150615   -0.45    0.10   -0.13   0.000
20150616    0.57    0.10    0.00   0.000
20150617    0.16   -0.29   -0.63   0.000
20150618    0.99    0.21   -0.43   0.000
20150619   -0.43    0.56   -0.20   0.000
20150622    0.63    0.08   -0.06   0.000
20150623    0.12    0.24    0.27   0.000
20150624   -0.79   -0.11    0.13   0.000
20150625   -0.25    0.36   -0.20   0.000
20150626   -0.06   -0.23    0.45   0.000
20150629   -2.15   -0.42    0.18   0.000
20150630    0.33    0.31   -0.67   0.000
20150701    0.60   -0.77   -0.06   0.000
20150702   -0.11   -0.56   -0.04   0.000
20150706   -0.37    0.16   -0.55   0.000
20150707    0.53   -0.44   -0.25   0.000
20150708   -1.68   -0.03    0.07   0.000
20150709    0.29    0.16   -0.02   0.000
20150710    1.24    0.23   -0.55   0.000
20150713    1.14   -0.07   -0.42   0.000
20150714    0.47    0.15    0.13   0.000
20150715   -0.19   -0.81   -0.08   0.000
20150716    0.78   -0.17   -0.62   0.000
20150717    0.05   -0.60   -0.64   0.000
20150720   -0.01   -0.72   -0.57   0.000
20150721   -0.47    0.03    0.29   0.000
20150722   -0.18    0.18    0.19   0.000
20150723   -0.60   -0.36   -0.35   0.000
20150724   -1.08   -0.61   -0.02   0.000
20150727   -0.74   -0.25    0.08   0.000
20150728    1.23   -0.34   -0.11   0.000
20150729    0.74   -0.36    0.52   0.000
20150730    0.12    0.17   -0.26   0.000
20150731   -0.15    0.82   -0.99   0.000
20150803   -0.35   -0.33   -0.16   0.000
20150804   -0.14    0.09   -0.19   0.000
20150805    0.36    0.01   -0.45   0.000
20150806   -0.88   -0.53    1.99   0.000
20150807   -0.36   -0.46   -0.35   0.000
20150810    1.32    0.16    0.69   0.000
20150811   -0.98   -0.08    0.42   0.000
20150812    0.07   -0.10   -0.28   0.000
20150813   -0.14   -0.43    0.02   0.000
20150814    0.43    0.13    0.43   0.000
20150817    0.60    0.44   -0.87   0.000
20150818   -0.35   -0.64    0.35   0.000
20150819   -0.85   -0.12   -0.22   0.000
20150820   -2.24   -0.28    0.60   0.000
20150821   -2.95    1.82    0.14   0.000
20150824   -3.90    0.34   -0.43   0.000
20150825   -1.17    0.69   -0.61   0.000
20150826    3.68   -1.36   -0.38   0.000
20150827    2.40   -0.68    0.60   0.000
20150828    0.23    0.98    0.08   0.000
20150831   -0.74    0.78    1.42   0.000
20150901   -2.91    0.32   -0.50   0.000
20150902    1.81   -0.17   -0.93   0.000
20150903    0.17   -0.32    0.73   0.000
20150904   -1.39    0.90   -0.58   0.000
20150908    2.52   -0.37   -0.56   0.000
20150909   -1.34    0.16    0.12   0.000
20150910    0.49   -0.13   -0.31   0.000
20150911    0.44   -0.20   -0.70   0.000
20150914   -0.41    0.03    0.01   0.000
20150915    1.22   -0.19    0.24   0.000
20150916    0.84    0.02    0.44   0.000
20150917   -0.17    0.89   -1.49   0.000
20150918   -1.62    0.46   -0.95   0.000
20150921    0.36   -0.93    1.20   0.000
20150922   -1.29   -0.27    0.14   0.000
20150923   -0.27   -0.17   -0.15   0.000
20150924   -0.36    0.25    0.56   0.000
20150925   -0.22   -1.66    1.87   0.000
20150928   -2.63   -0.27    1.17   0.000
20150929   -0.07   -0.72    0.71   0.000
20150930    1.88   -0.43   -0.48   0.000
20151001    0.13   -0.45   -0.04   0.000
20151002    1.48    0.34   -0.84   0.000
20151005    1.93    0.62    0.77   0.000
20151006   -0.43   -0.23    1.73   0.000
20151007    0.94    0.70   -0.24   0.000
20151008    0.84    0.24    0.76   0.000
20151009    0.12    0.21   -1.08   0.000
20151012    0.06   -0.40   -0.07   0.000
20151013   -0.74   -0.73    0.69   0.000
20151014   -0.60   -0.26   -0.03   0.000
20151015    1.56    0.65   -0.15   0.000
20151016    0.36   -0.49   -0.35   0.000
20151019    0.00    0.16   -0.71   0.000
20151020   -0.15    0.02    1.20   0.000
20151021   -0.74   -0.87   -0.18   0.000
20151022    1.50   -0.78    0.47   0.000
20151023    1.09   -0.02   -0.59   0.000
20151026   -0.20   -0.35   -0.72   0.000
20151027   -0.42   -0.87   -0.88   0.000
20151028    1.43    1.41    0.64   0.000
20151029   -0.20   -0.88    0.10   0.000
20151030   -0.41    0.22   -0.55   0.000
20151102    1.25    0.85   -0.02   0.000
20151103    0.32    0.45    0.22   0.000
20151104   -0.26    0.34   -0.33   0.000
20151105   -0.08    0.03    0.46   0.000
20151106    0.14    0.81    0.28   0.000
20151109   -0.95   -0.21   -0.04   0.000
20151110    0.13   -0.01    0.27   0.000
20151111   -0.43   -0.52   -0.18   0.000
20151112   -1.45   -0.51   -0.45   0.000
20151113   -1.06    0.31    0.39   0.000
20151116    1.39   -0.57    0.45   0.000
20151117   -0.11   -0.12   -0.66   0.000
20151118    1.61    0.00   -0.09   0.000
20151119   -0.13   -0.26   -0.11   0.000
20151120    0.35    0.43   -0.42   0.000
20151123   -0.01    0.66   -0.35   0.000
20151124    0.21    0.70    0.26   0.000
20151125    0.09    0.87   -0.55   0.000
20151127    0.09    0.22   -0.29   0.000
20151130   -0.47    0.14    0.69   0.000
20151201    0.97   -0.66    0.24   0.000
20151202   -1.01    0.25   -0.70   0.000
20151203   -1.50   -0.22    0.43   0.000
20151204    1.86   -1.04   -0.52   0.000
20151207   -0.84   -0.86   -0.66   0.000
20151208   -0.59    0.48   -1.23   0.000
20151209   -0.83   -0.33    0.42   0.000
20151210    0.30    0.11   -0.22   0.000
20151211   -2.03   -0.22   -0.06   0.000
20151214    0.29   -1.05   -0.19   0.000
20151215    1.10    0.03    0.77   0.000
20151216    1.47    0.01   -0.64   0.000
20151217   -1.46    0.38   -0.31   0.000
20151218   -1.70    0.76   -0.39   0.000
20151221    0.74   -0.17   -0.06   0.000
20151222    0.89   -0.04    0.51   0.000
20151223    1.30    0.13    0.58   0.000
20151224   -0.11    0.30   -0.03   0.000
20151228   -0.29   -0.48   -0.38   0.000
20151229    1.05    0.09   -0.31   0.000
20151230   -0.74   -0.17   -0.14   0.000
20151231   -0.92   -0.24    0.24   0.000
20160104   -1.59   -0.83    0.53   0.000
20160105    0.12   -0.22    0.01   0.000
20160106   -1.35   -0.12   -0.01   0.000
20160107   -2.44   -0.29    0.08   0.000
20160108   -1.11   -0.47   -0.03   0.000
20160111   -0.06   -0.65    0.34   0.000
20160112    0.71   -0.40   -0.78   0.000
20160113   -2.67   -0.69    0.78   0.000
20160114    1.65   -0.01   -0.40   0.000
20160115   -2.14    0.42   -0.21   0.000
20160119   -0.20   -1.34   -0.07   0.000
20160120   -0.94    1.85   -1.24   0.000
20160121    0.45   -0.49    0.01   0.000
20160122    2.08    0.22   -0.19   0.000
20160125   -1.71   -0.36   -0.99   0.000
20160126    1.52    0.38    1.22   0.000
20160127   -1.11   -0.54    1.71   0.000
20160128    0.49   -0.47    1.25   0.000
20160129    2.57    0.46    0.37   0.000
20160201   -0.04   -0.21   -0.95   0.001
20160202   -2.00   -0.03   -0.35   0.001
20160203    0.46   -0.31    0.45   0.001
20160204    0.27    0.20    0.33   0.001
20160205   -2.06   -1.10    1.75   0.001
20160208   -1.51   -0.02    0.89   0.001
20160209   -0.10   -0.47   -0.28   0.001
20160210    0.01   -0.05   -0.55   0.001
20160211   -1.17    0.50   -1.47   0.001
20160212    1.98   -0.54    1.14   0.001
