sep=;
Date;High price;Low price;Closing price;All trades average price;Total volume;Turnover;Duration;Yield;Yield calculation price;Nasdaq CPH Consolidated reference price;Nasdaq CPH consolidated volume;Nasdaq CPH consolidated turnover;
2019-01-09;108.560;108.560;108.560;;4000000;;4.705;-0.254;108.560;108.560;4000000.000;4342400.000;
2019-01-10;;;;;;;4.705;-0.254;108.560;;;;
2019-01-11;108.750;108.750;108.750;;20000;;4.695;-0.295;108.750;108.750;20000.000;21750.000;
2019-01-14;;;;;;;4.695;-0.295;108.750;;;;
2019-01-15;108.840;108.840;108.840;;50000000;;4.689;-0.314;108.840;108.840;50000000.000;54420000.000;
2019-01-16;;;;;;;4.689;-0.314;108.840;;;;
2019-01-17;;;;;;;4.689;-0.314;108.840;;;;
2019-01-18;;;;;;;4.689;-0.314;108.840;;;;
2019-01-21;;;;;;;4.689;-0.314;108.840;;;;
2019-01-22;;;;;;;4.689;-0.314;108.840;;;;
2019-01-23;;;;;;;4.689;-0.314;108.840;;;;
2019-01-24;;;;;;;4.689;-0.314;108.840;;;;
2019-01-25;108.759;108.759;108.759;;500000;;4.656;-0.310;108.759;108.759;500000.000;543795.000;
2019-01-28;108.591;108.591;108.591;;1100000;;4.653;-0.278;108.591;108.591;1100000.000;1194501.000;
2019-01-29;;;;;;;4.653;-0.278;108.591;;;;
2019-01-30;108.660;108.660;108.660;;3000000;;4.648;-0.294;108.660;108.660;3000000.000;3259800.000;
2019-01-31;108.737;108.661;108.737;;8000000;;4.640;-0.308;108.719;108.719;8000000.000;8697530.000;
2019-02-01;108.830;108.830;108.830;;875000;;4.637;-0.331;108.830;108.830;875000.000;952262.500;
2019-02-04;108.724;108.724;108.724;;96899.47;;4.634;-0.311;108.724;108.724;96899.470;105352.980;
2019-02-05;;;;;;;4.634;-0.311;108.724;;;;
2019-02-06;108.780;108.780;108.780;;24000000;;4.629;-0.324;108.780;108.780;24000000.000;26107200.000;
2019-02-07;;;;;;;4.629;-0.324;108.780;;;;
2019-02-08;109.020;109.020;109.020;;30000000;;4.618;-0.376;109.020;109.020;30000000.000;32706000.000;
2019-02-11;109.050;109.050;109.050;;350000;;4.615;-0.383;109.050;109.050;350000.000;381675.000;
2019-02-12;;;;;;;4.615;-0.383;109.050;;;;
2019-02-13;;;;;;;4.615;-0.383;109.050;;;;
2019-02-14;108.960;108.960;108.960;;17000000;;4.602;-0.370;108.960;108.960;17000000.000;18523200.000;
2019-02-15;;;;;;;4.602;-0.370;108.960;;;;
2019-02-18;109.040;109.040;109.040;;7288.85;;4.596;-0.388;109.040;109.040;7288.850;7947.760;
2019-02-19;;;;;;;4.596;-0.388;109.040;;;;
2019-02-20;;;;;;;4.596;-0.388;109.040;;;;
2019-02-21;;;;;;;4.596;-0.388;109.040;;;;
2019-02-22;109.000;108.900;108.900;;4800000;5227200;4.580;-0.367;108.901;108.901;4825000.000;5254450.000;
2019-02-25;;;;;;;4.580;-0.367;108.901;;;;
2019-02-26;;;;;;;4.580;-0.367;108.901;;;;
2019-02-27;;;;;;;4.580;-0.367;108.901;;;;
2019-02-28;108.670;108.670;108.670;;10000000;;4.563;-0.327;108.670;108.670;10000000.000;10867000.000;
2019-03-01;;;;;;;4.563;-0.327;108.670;;;;
2019-03-04;108.690;108.690;108.690;;20000;;4.558;-0.333;108.690;108.690;20000.000;21738.000;
2019-03-05;;;;;;;4.558;-0.333;108.690;;;;
2019-03-06;108.900;108.900;108.900;;2757.96;;4.552;-0.377;108.900;108.900;2757.960;3003.420;
2019-03-07;;;;;;;4.552;-0.377;108.900;;;;
2019-03-08;;;;;;;4.552;-0.377;108.900;;;;
2019-03-11;;;;;;;4.552;-0.377;108.900;;;;
2019-03-12;;;;;;;4.552;-0.377;108.900;;;;
2019-03-13;;;;;;;4.552;-0.377;108.900;;;;
2019-03-14;108.890;108.890;108.890;;13060730;;4.525;-0.386;108.890;108.890;13060730.000;14221828.900;
2019-03-15;108.940;108.860;108.940;;25012356.15;;4.522;-0.381;108.860;108.860;25012356.150;27228460.790;
2019-03-18;;;;;;;4.522;-0.381;108.860;;;;
2019-03-19;;;;;;;4.522;-0.381;108.860;;;;
2019-03-20;;;;;;;4.522;-0.381;108.860;;;;
2019-03-21;;;;;;;4.522;-0.381;108.860;;;;
2019-03-22;;;;;;;4.522;-0.381;108.860;;;;
2019-03-25;;;;;;;4.522;-0.381;108.860;;;;
2019-03-26;;;;;;;4.522;-0.381;108.860;;;;
2019-03-27;109.240;109.240;109.240;;2700000;;4.495;-0.468;109.240;109.240;2700000.000;2949480.000;
2019-03-28;;;;;;;4.495;-0.468;109.240;;;;
2019-03-29;;;;;;;4.495;-0.468;109.240;;;;
2019-04-01;109.310;109.310;109.310;;39000000;;4.482;-0.488;109.310;109.310;39000000.000;42630900.000;
2019-04-02;;;;;;;4.482;-0.488;109.310;;;;
2019-04-03;109.240;109.240;109.240;;36000000;;4.476;-0.476;109.240;109.240;36000000.000;39326400.000;
2019-04-04;;;;;;;4.476;-0.476;109.240;;;;
2019-04-05;;;;;;;4.476;-0.476;109.240;;;;
2019-04-08;109.070;109.060;109.060;;140000;;4.462;-0.445;109.061;109.061;140000.000;152685.000;
2019-04-09;;;;;;;4.462;-0.445;109.061;;;;
2019-04-10;109.195;109.195;109.195;;20000000;;4.457;-0.475;109.195;109.195;20000000.000;21839000.000;
2019-04-11;109.140;109.140;109.140;;820000;;4.449;-0.467;109.140;109.140;820000.000;894948.000;
2019-04-12;109.020;109.020;109.020;;1778000;;4.446;-0.443;109.020;109.020;1778000.000;1938375.600;
