Mat. Date;Sold; Sold Amount ;Bought; Bought Amount ; Rate 
23-05-2018;DKK;301.662.370;USD;50.000.000;6,0332
23-05-2018;JPY;1.000.000.000;DKK;57.127.000;0,0571
25-05-2018;CAD;5.000.000;DKK;23.690.611;4,7381
25-05-2018;DKK;9.919.212;ILS;5.576.977;1,7786
25-05-2018;DKK;7.977.945;ILS;4.485.772;1,7785
29-05-2018;DKK;3.459.600;AED;2.000.000;1,7298
29-05-2018;DKK;63.405.600;USD;10.000.000;6,3406
30-05-2018;EUR;7.877.303;JPY;1.000.000.000;126,947
30-05-2018;USD;50.000.000;DKK;321.911.245;6,4382
31-05-2018;DKK;16.929.464;GBP;2.000.000;8,4647
31-05-2018;DKK;16.922.424;GBP;2.000.000;8,4612
31-05-2018;DKK;33.980.680;GBP;4.000.000;8,4952
31-05-2018;USD;50.000.000;DKK;321.771.500;6,4354
31-05-2018;USD;50.000.000;DKK;319.725.370;6,3945
01-06-2018;DKK;304.718.240;USD;50.000.000;6,0944
01-06-2018;JPY;500.000.000;DKK;29.422.000;0,0588
01-06-2018;DKK;29.445.000;JPY;500.000.000;0,0589
04-06-2018;DKK;296.103.585;USD;50.000.000;5,9221
04-06-2018;DKK;296.213.865;USD;50.000.000;5,9243
04-06-2018;DKK;2.615.544;INR;27.387.891;0,0955
04-06-2018;ILS;551.688;DKK;986.198;1,7876
04-06-2018;ILS;666.006;DKK;1.190.552;1,7876
04-06-2018;USD;50.000.000;DKK;318.826.995;6,3765
04-06-2018;USD;25.000.000;DKK;159.270.498;6,3708
06-06-2018;DKK;304.859.525;USD;50.000.000;6,0972
06-06-2018;DKK;991.970;KES;15.647.697;0,0634
06-06-2018;DKK;159.768;RSD;2.525.170;0,0633
06-06-2018;RSD;3.237.986;DKK;203.313;0,0628
07-06-2018;SEK;30.000.000;DKK;21.658.200;0,7219
07-06-2018;DKK;241.879;RSD;3.819.948;0,0633
07-06-2018;DKK;29.772.000;CNH;30.000.000;0,9924
11-06-2018;DKK;295.914.540;USD;50.000.000;5,9183
11-06-2018;DKK;17.270.000;AED;10.000.000;1,727
11-06-2018;DKK;23.746.727;AED;13.762.230;1,7255
11-06-2018;DKK;1.463.191;KES;23.126.137;0,0633
11-06-2018;DKK;3.715.882;MAD;5.523.011;0,6728
12-06-2018;CNH;50.000.000;DKK;49.515.000;0,9903
13-06-2018;DKK;300.885.775;USD;50.000.000;6,0177
13-06-2018;DKK;531.600;RSD;8.399.425;0,0633
13-06-2018;DKK;1.949.926;RSD;30.809.389;0,0633
13-06-2018;ZAR;40.000.000;DKK;19.220.000;0,4805
13-06-2018;GBP;8.000.000;DKK;67.664.622;8,4581
14-06-2018;DKK;300.374.670;USD;50.000.000;6,0075
15-06-2018;NOK;25.000.000;DKK;19.728.000;0,7891
15-06-2018;DKK;316.480.000;USD;50.000.000;6,3296
18-06-2018;DKK;295.814.120;USD;50.000.000;5,9163
18-06-2018;DKK;296.117.705;USD;50.000.000;5,9224
18-06-2018;USD;50.000.000;DKK;318.433.000;6,3687
19-06-2018;DKK;58.044.000;JPY;1.000.000.000;0,058
19-06-2018;USD;50.000.000;DKK;320.740.490;6,4148
20-06-2018;EUR;25.000.000;DKK;186.244.500;7,4498
20-06-2018;GBP;3.000.000;DKK;25.509.030;8,503
20-06-2018;JPY;900.000.000;DKK;52.295.400;0,0581
21-06-2018;USD;50.000.000;DKK;322.713.000;6,4543
21-06-2018;DKK;7.873.702;NOK;10.000.000;0,7874
22-06-2018;CAD;7.000.000;DKK;33.675.917;4,8108
22-06-2018;DKK;2.199.934;INR;23.060.108;0,0954
25-06-2018;DKK;299.377.005;USD;50.000.000;5,9875
26-06-2018;DKK;304.439.525;USD;50.000.000;6,0888
26-06-2018;DKK;49.440.100;CNH;50.000.000;0,9888
26-06-2018;DKK;99.533.600;CNH;100.000.000;0,9953
26-06-2018;DKK;49.761.850;CNH;50.000.000;0,9952
26-06-2018;DKK;99.119.700;CNH;100.000.000;0,9912
26-06-2018;DKK;99.129.300;CNH;100.000.000;0,9913
26-06-2018;USD;50.000.000;DKK;319.886.000;6,3977
26-06-2018;JPY;500.000.000;DKK;29.068.500;0,0581
26-06-2018;DKK;29.060.000;JPY;500.000.000;0,0581
26-06-2018;DKK;173.298;AED;99.545;1,7409
27-06-2018;DKK;318.286.840;USD;50.000.000;6,3657
27-06-2018;USD;687.500;DKK;4.403.073;6,4045
28-06-2018;CNH;100.000.000;DKK;99.506.600;0,9951
28-06-2018;CNH;50.000.000;DKK;49.748.450;0,995
28-06-2018;CNH;100.000.000;DKK;99.092.500;0,9909
28-06-2018;CNH;100.000.000;DKK;99.101.900;0,991
28-06-2018;PLN;20.000.000;DKK;34.346.000;1,7173
28-06-2018;DKK;255.458.000;USD;40.000.000;6,3865
29-06-2018;DKK;304.361.120;USD;50.000.000;6,0872
29-06-2018;DKK;2.576.137;INR;27.318.528;0,0943
29-06-2018;DKK;192.574.800;USD;30.000.000;6,4192
02-07-2018;USD;50.000.000;DKK;321.645.000;6,4329
02-07-2018;DKK;1.467.974;INR;15.666.750;0,0937
02-07-2018;USD;50.000.000;DKK;319.928.240;6,3986
03-07-2018;DKK;305.984.620;USD;50.000.000;6,1197
03-07-2018;DKK;153.026.193;USD;25.000.000;6,121
03-07-2018;DKK;24.201.500;CAD;5.000.000;4,8403
03-07-2018;DKK;152.968;RSD;2.411.227;0,0634
03-07-2018;DKK;410.125;RSD;6.464.777;0,0634
03-07-2018;DKK;319.905.000;USD;50.000.000;6,3981
05-07-2018;DKK;300.490.990;USD;50.000.000;6,0098
05-07-2018;DKK;300.520.035;USD;50.000.000;6,0104
05-07-2018;DKK;16.426.023;AED;9.413.194;1,745
05-07-2018;HUF;500.000.000;DKK;11.292.500;0,0226
05-07-2018;DKK;1.530.749;INR;16.284.567;0,094
10-07-2018;DKK;320.803.515;USD;50.000.000;6,4161
10-07-2018;DKK;1.260.571;KES;19.770.561;0,0638
10-07-2018;DKK;757.491;KES;11.880.346;0,0638
10-07-2018;DKK;34.246.873;AED;19.829.120;1,7271
11-07-2018;DKK;158.798.355;USD;25.000.000;6,3519
12-07-2018;DKK;500.857;RSD;7.902.444;0,0634
12-07-2018;RUB;200.000.000;DKK;20.344.000;0,1017
12-07-2018;DKK;191.028.900;USD;30.000.000;6,3676
17-07-2018;GBP;2.000.000;DKK;16.869.240;8,4346
17-07-2018;DKK;320.510.785;USD;50.000.000;6,4102
17-07-2018;DKK;19.131.992;CHF;3.000.000;6,3773
18-07-2018;DKK;308.539.805;USD;50.000.000;6,1708
18-07-2018;RUB;200.000.000;DKK;20.448.000;0,1022
19-07-2018;HUF;500.000.000;DKK;11.523.500;0,023
19-07-2018;USD;50.000.000;DKK;318.410.000;6,3682
19-07-2018;USD;50.000.000;DKK;318.328.000;6,3666
19-07-2018;EUR;34.537.283;USD;40.000.000;1,1582
23-07-2018;DKK;519.117;RSD;8.186.667;0,0634
23-07-2018;DKK;3.325.425;MAD;4.894.649;0,6794
23-07-2018;USD;40.000.000;EUR;34.527.704;1,1585
24-07-2018;DKK;1.816.917;INR;19.390.791;0,0937
24-07-2018;DKK;6.314.893;INR;67.394.800;0,0937
24-07-2018;DKK;2.777.064;INR;29.637.826;0,0937
25-07-2018;DKK;297.425.840;USD;50.000.000;5,9485
25-07-2018;DKK;321.840.015;USD;50.000.000;6,4368
26-07-2018;DKK;301.177.465;USD;50.000.000;6,0235
26-07-2018;DKK;301.172.500;USD;50.000.000;6,0235
27-07-2018;CNH;75.000.000;DKK;68.883.150;0,9184
27-07-2018;CNH;25.000.000;DKK;22.892.650;0,9157
27-07-2018;DKK;318.216.785;USD;50.000.000;6,3643
27-07-2018;DKK;318.134.885;USD;50.000.000;6,3627
27-07-2018;DKK;93.392.100;CNH;100.000.000;0,9339
27-07-2018;DKK;57.346.000;JPY;1.000.000.000;0,0573
